index;x;y;z
170;-0.017700;0.002686;0.026505
171;-0.013153;0.027954;0.075699
172;0.019211;0.031555;0.042084
173;-0.014099;0.022964;-0.008102
174;0.008972;-0.012772;0.007126
175;0.022751;-0.000732;0.027603
176;0.002075;0.008392;-0.019394
177;0.006989;-0.019547;-0.035233
178;-0.016464;0.020157;0.023422
179;-0.034592;0.100220;0.037476
180;0.066162;0.095795;0.010498
181;-0.024567;0.210114;0.017746
182;0.182159;0.056366;0.162796
183;-0.028687;0.081802;0.115173
184;0.037750;0.317322;-0.155533
185;-0.249100;-0.303589;-0.358612
186;0.122437;-0.992416;-0.639694
187;-0.833694;-2.280640;-0.717651
188;-0.962631;-2.695236;-0.348007
189;-0.281708;-2.649811;-0.254150
190;-1.312271;-6.181580;0.837036
191;-3.380997;-7.296371;1.379211
192;-2.640686;-6.321259;1.689880
193;-1.949829;-3.423935;1.507050
194;-0.789383;-1.970642;0.491028
195;-0.473007;-0.755188;-0.202057
196;0.288803;-0.336121;-0.465317
197;0.351913;0.018372;-0.906921
198;-0.287369;-0.023453;0.165848
199;-0.442337;-0.216980;0.111679
200;0.061707;0.092743;0.119614
201;0.429611;0.359467;0.078293
202;0.025101;0.050201;0.130814
203;-0.091049;-0.155823;0.047516
204;-0.123444;0.041855;-0.108124
205;0.146683;0.178024;0.021683
206;-0.021530;0.074921;0.073639
207;-0.259781;0.028244;-0.036102
208;-0.030807;0.161728;0.058655
209;0.125015;-0.100937;-0.010849
210;-0.010101;-0.139648;0.058014
211;-0.033051;-0.053467;0.069855
212;0.036209;-0.020966;-0.035889
213;0.034592;-0.101456;-0.050354
214;-0.047729;0.003250;0.128525
215;0.033875;-0.093704;-0.061020
216;-0.080734;0.003616;0.015778
217;0.092148;-0.072556;-0.078369
218;-0.053772;-0.175644;-0.026611
219;-0.053238;0.001648;0.063751
220;0.141953;0.085434;0.036179
221;-0.160126;0.056931;-0.047943
222;-0.137665;0.116898;-0.138275
223;0.315002;0.167938;-0.319672
224;0.197968;-0.779602;-0.464294
225;-0.974533;-3.075470;-0.491837
226;-1.740860;-4.245941;-1.476578
227;-1.140793;-5.254669;0.690125
228;-2.110565;-7.982391;-0.010788
229;-2.476410;-6.827133;1.573578
230;-1.834106;-4.486313;1.099945
231;-0.595169;-2.049530;0.437531
232;0.018494;-0.666809;-0.226074
233;-0.025009;-0.268936;-0.493729
234;0.012589;0.114090;-0.541275
235;0.251709;0.289688;-0.346695
236;-0.752686;-0.261505;0.041214
237;0.014862;-0.143219;0.151566
238;0.144485;0.094254;0.067139
239;0.181717;0.069763;-0.053009
240;0.636978;0.114075;-0.102432
241;-0.043396;-0.531708;-0.285233
242;-0.423950;0.022995;0.086884
243;0.637238;0.578613;-0.023285
244;-0.200256;0.093079;0.268494
245;0.590805;0.530334;0.214447
246;-0.643143;0.021515;0.153214
247;-0.039566;0.587921;-0.229599
248;0.135529;0.147766;0.004623
249;-0.738312;-0.040344;-0.826889
250;0.041275;-0.899475;-0.243607
251;-0.622955;-1.421539;-0.068954
252;-0.160156;-1.060089;0.227112
253;0.363434;0.144531;0.075714
254;0.282150;0.191193;0.026138
255;0.264084;0.597519;-0.165283
256;-0.165085;0.200089;0.059479
257;-0.258911;0.260498;0.200195
258;-0.041336;-0.025085;0.094803
259;-0.390594;-0.184113;-0.110641
260;-0.325867;-0.320496;-0.249130
261;-0.370499;-0.155975;-0.176437
262;-0.281052;-0.261002;-0.404266
263;-0.393112;-1.171494;0.069443
264;-1.008408;-2.645157;0.152328
265;-1.778854;-4.582138;0.685898
266;-4.479065;-6.445145;0.964951
267;-4.015396;-6.430130;1.137253
268;-3.107880;-4.720596;0.946960
269;-1.813644;-2.759125;0.636581
270;-0.618332;-1.248474;0.290680
271;-0.134796;-0.020966;-0.266449
272;0.223129;0.105194;-0.169327
273;-0.096802;0.011459;-0.137024
274;-0.181015;-0.244492;0.027023
275;-0.204544;-0.228516;0.002655
276;-0.154434;-0.052811;-0.002808
277;0.041595;0.035965;-0.057358
278;0.138382;0.147186;-0.051590
279;0.094910;0.164215;0.026627
280;0.040070;0.105652;-0.020599
281;0.002747;0.167633;0.053070
282;0.051041;0.108368;0.063904
283;-0.032593;0.031357;0.110992
284;-0.009293;-0.010223;0.132187
285;0.092224;0.001770;0.078842
286;0.029770;0.038391;0.127319
287;0.099060;-0.054535;0.008789
288;-0.019867;-0.045502;-0.000412
289;0.060532;-0.068359;0.086716
290;0.005371;0.033401;-0.049255
291;-0.003372;0.119659;0.009308
292;-0.038437;0.061630;0.004105
293;0.040741;0.054749;-0.041611
294;0.038528;0.018372;0.012711
295;0.000137;-0.012817;-0.041199
296;0.093887;-0.229416;-0.355316
297;-0.083633;-0.622696;-0.413727
298;-0.143600;-1.535217;-0.327896
299;-0.293716;-2.305527;-0.675079
300;-0.286377;-2.465881;-0.561447
301;-0.897461;-5.586578;0.036819
302;-3.125320;-6.865967;0.216003
303;-2.426987;-5.233383;0.776306
304;-2.079117;-4.516815;1.009262
305;-1.326599;-2.197067;0.073807
306;0.033875;-1.325684;-0.191620
307;0.299911;-0.762604;-0.422607
308;-0.277237;-0.523438;-0.290070
309;0.038116;0.025284;-0.172028
310;0.277191;0.355499;0.076096
311;-0.135345;0.087158;0.066940
312;-0.339081;-0.082199;0.197769
313;0.111176;0.168533;0.157898
314;0.060455;0.245880;0.123474
315;-0.066696;0.166199;0.107880
316;-0.014099;0.178452;0.099976
317;-0.038483;0.128906;0.071243
318;-0.095642;0.044052;-0.048172
319;0.017349;0.014755;-0.069641
320;0.129318;0.039001;-0.113937
321;0.056946;-0.027084;-0.118378
322;-0.012207;-0.051193;-0.037506
323;0.000381;-0.011963;-0.038177
324;0.002441;-0.014633;-0.034653
325;-0.044037;0.042236;-0.172607
326;0.046356;-0.000107;0.055695
327;0.090744;0.016403;-0.017273
328;-0.086227;-0.041412;0.002960
329;-0.087296;-0.052536;-0.015793
330;0.120789;-0.138275;-0.261383
331;-0.020752;-0.688980;-0.521957
332;-0.210358;-1.649368;-0.414413
333;-0.898514;-2.722641;-0.403046
334;-0.480042;-2.859909;-0.546555
335;-0.369766;-4.456970;1.043640
336;-3.976425;-7.267029;0.930649
337;-3.150116;-5.634308;1.752945
338;-2.328674;-3.371506;1.285706
339;-1.238235;-1.943695;0.886917
340;-0.527191;-0.901505;0.229950
341;0.053253;-0.097382;-0.129364
342;0.368896;0.275070;-0.220413
343;0.068008;0.308960;-0.261765
344;0.108810;0.139526;0.054291
345;-0.139435;-0.055710;0.023941
346;-0.258804;-0.214951;0.115799
347;0.058655;-0.083633;-0.005280
348;0.100739;-0.049591;0.013611
349;-0.027908;-0.158478;-0.145767
350;-0.032806;-0.213531;-0.083725
351;-0.112045;-0.104233;0.016632
352;0.013687;-0.050339;-0.028229
353;-0.030334;0.066208;-0.004013
354;0.085510;-0.051941;-0.057724
355;-0.028824;-0.077301;-0.044327
356;0.083023;0.005203;-0.069412
357;0.044281;-0.017914;-0.024551
358;-0.069748;0.103241;0.037430
359;0.068558;0.092712;0.011856
360;0.009796;0.107117;-0.016022
361;-0.017715;0.056992;0.199036
362;0.078064;0.206406;0.017670
363;-0.268250;-0.060608;0.138275
364;0.068893;0.096985;0.164749
365;0.225922;0.261337;-0.020584
366;0.148376;0.029144;-0.258377
367;0.401169;-0.665955;-0.307220
368;-0.643875;-2.480881;-0.144745
369;-0.509415;-3.093658;-0.910233
370;0.402176;-4.200607;-0.156235
371;-1.746033;-7.203323;0.217102
372;-2.766953;-7.671646;0.858765
373;-2.470795;-5.451187;1.209137
374;-0.677872;-2.511749;0.491394
375;-0.496765;-1.137405;0.319839
376;-0.128540;-0.292007;-0.333740
377;-0.075485;-0.010391;-0.050980
378;0.320755;0.249542;-0.395523
379;0.238510;-0.021225;-0.082733
380;-0.493057;-0.427353;0.091064
381;-0.302734;-0.193436;-0.004120
382;0.254333;0.082138;-0.035233
383;0.050980;0.043564;-0.057693
384;-0.036362;-0.043991;-0.012543
385;0.080414;-0.034164;0.045822
386;0.030304;0.001556;0.039734
387;-0.034714;0.038177;0.038040
388;0.027023;0.040253;0.036102
389;-0.054489;-0.020920;0.023361
390;-0.070297;-0.043900;0.017639
391;-0.000961;-0.009796;0.016174
392;0.103745;0.060471;-0.066299
393;0.083252;0.021378;0.011353
394;0.017136;-0.003250;-0.018906
395;-0.011169;-0.026352;0.029190
396;-0.049072;-0.013535;0.018051
397;0.003036;0.002136;0.001450
398;0.076294;0.055313;0.025543
399;0.040543;0.001846;0.027435
400;-0.070831;-0.046371;-0.001648
401;0.044754;0.124176;0.090652
402;0.032913;0.223480;-0.070923
403;-0.060501;-0.187393;-0.479767
404;-0.493744;-1.332489;-0.033936
405;-2.257477;-2.984344;0.087067
406;-0.800858;-3.116241;-0.131836
407;-1.875443;-5.636520;0.952621
408;-4.000336;-7.525208;1.333527
409;-3.427307;-5.208481;1.750717
410;-1.944489;-3.441254;1.319901
411;-0.675858;-1.902420;0.449387
412;-0.240311;-0.732651;-0.056900
413;-0.170425;-0.303589;-0.080643
414;-0.232193;0.002075;-0.240601
415;0.120270;0.310699;-0.129364
416;-0.121216;0.242905;0.011642
417;-0.148438;0.039368;-0.068130
418;0.128265;0.100174;0.068771
419;0.048904;0.053482;0.016281
420;0.214508;-0.104111;0.042969
421;0.204239;-0.019882;0.071533
422;0.311234;-0.042801;-0.040695
423;-0.053421;-0.124481;0.073837
424;-0.143005;-0.049850;0.169296
425;-0.160690;0.049683;0.115723
426;0.041840;0.078674;0.116333
427;-0.051758;-0.045258;0.062439
428;-0.224091;-0.083893;0.089066
