index;x;y;z
166;0.509720;-4.435654;-1.110306
167;-0.133469;-5.927124;-0.798538
168;-0.559662;-5.309799;-0.101181
169;-0.567886;-4.547470;0.354935
170;-0.575150;-3.112213;0.224838
171;-0.184479;-1.842056;-0.125153
172;0.188232;-0.914612;-0.051514
173;0.151337;-0.299301;-0.360687
174;0.199982;0.187057;-0.298737
175;0.017273;0.073807;-0.136765
176;-0.162323;-0.183151;-0.046219
177;-0.063080;-0.160248;0.072418
178;0.267334;0.135406;-0.024567
179;-0.145218;0.285889;-0.143280
180;0.289856;0.317032;-0.097336
181;0.216461;0.210526;-0.027817
182;-0.018433;-0.108704;0.135727
183;-0.047928;-0.155167;0.350433
184;0.044724;0.011566;0.112915
185;-0.270874;-0.032928;0.117142
186;-0.621109;0.530945;-0.143906
187;-0.107483;0.173325;0.114288
188;0.461487;-0.059677;-0.073502
189;-0.058228;-0.960236;0.092316
190;0.363174;-0.040466;0.053848
191;0.129501;0.226013;-0.100388
192;0.137283;-0.280502;-0.431534
193;0.397766;-0.190445;-0.380020
194;-0.076157;-0.359039;0.012436
195;-0.139023;-0.085419;-0.091934
196;-0.031403;-0.144363;-0.005371
197;-0.344788;-0.134995;0.055267
198;-0.147141;-0.104721;-0.184723
199;0.018799;-0.092087;-0.314835
200;-0.043243;-0.912888;-0.523636
201;0.322952;-1.369461;-1.008530
202;1.043076;-2.249786;-1.472061
203;0.552078;-3.734039;-1.678619
204;0.506210;-4.682571;-1.778381
205;0.508698;-5.814453;-0.588928
206;-0.746048;-5.518906;-0.046097
207;-0.938583;-4.601562;0.435455
208;-1.058411;-3.308136;0.424911
209;-0.287354;-1.988876;0.179901
210;0.159637;-1.022232;0.211441
211;-0.289108;-0.424973;-0.361374
212;0.012039;0.091644;-0.406540
213;0.102448;0.153122;-0.137939
214;-0.053070;-0.250122;-0.055771
215;-0.066864;-0.382339;0.173798
216;-0.084976;-0.128036;0.034302
217;-0.007889;0.100906;-0.013565
218;0.070755;0.128067;0.028488
219;0.063721;0.048172;0.031525
220;-0.022781;0.058334;0.053696
221;-0.042160;-0.034836;0.095871
222;-0.056702;0.016464;0.031036
223;0.026062;0.131821;-0.072601
224;0.060989;0.097244;0.035889
225;0.029480;-0.036560;-0.023346
226;0.041702;0.013458;-0.006042
227;0.037598;0.007828;-0.001999
228;0.028061;0.011322;-0.014633
229;0.014053;0.000412;0.036972
230;0.015457;0.001358;-0.029755
231;0.054291;0.122208;0.016342
232;0.092255;0.046127;0.103561
233;0.002991;0.095825;-0.038971
234;-0.055893;0.193344;-0.024933
235;0.025406;0.141632;0.026932
236;-0.073944;0.219070;-0.016602
237;-0.097214;0.050766;0.217010
238;-0.079849;-0.087296;-0.195160
239;0.021179;-0.910278;-0.763901
240;0.286896;-2.054626;-0.897507
241;0.202637;-3.102402;-1.248245
242;0.597168;-2.825119;-1.036423
243;1.352081;-3.797546;-1.028687
244;0.353226;-6.588715;-0.989822
245;-0.887329;-6.476456;0.358902
246;0.034485;-5.855713;0.596298
247;-0.402878;-3.525681;0.734848
248;0.216202;-2.333435;0.462173
249;0.291809;-1.311905;0.038742
250;-0.117340;-0.488739;-0.251907
251;-0.182861;-0.095932;-0.361786
252;-0.118027;0.096512;-0.199753
253;0.005997;-0.026535;0.043198
254;0.154495;-0.317749;0.108414
255;0.217712;-0.173264;-0.143326
256;0.093338;0.043549;-0.113617
257;-0.114960;0.136398;0.069244
258;-0.201569;0.250015;0.138336
259;-0.054230;0.251266;-0.064194
260;0.064377;0.129288;-0.171875
261;0.064636;0.017899;-0.060242
262;0.154205;-0.084290;-0.065796
263;0.065063;-0.176529;0.084869
264;-0.060379;-0.070404;0.215195
265;-0.169525;-0.201233;0.217865
266;-0.183533;-0.171722;0.151581
267;-0.116959;0.107285;0.084641
268;-0.143295;0.022476;0.119995
269;-0.036072;-0.054626;0.135223
270;0.048584;0.062378;-0.009018
271;0.072464;-0.002579;0.125870
272;0.069977;0.077850;0.041458
273;-0.012939;0.290375;0.160645
274;0.094147;0.201157;0.114075
275;0.150589;0.236206;0.004410
276;0.213837;0.421555;-0.110367
277;-0.039856;0.003830;-0.132858
278;-0.002396;0.068512;-0.372528
279;-0.138306;-0.101929;-0.346939
280;-0.056320;-1.256119;-0.471649
281;0.075333;-1.991699;-0.962326
282;0.849365;-3.098816;-0.921051
283;1.055328;-3.199005;-1.433884
284;1.200546;-4.755234;-1.571793
285;0.946182;-6.787704;-1.175903
286;0.248810;-7.050323;0.007217
287;-0.287125;-5.789413;0.281891
288;0.184204;-3.341263;0.423965
289;-0.023560;-2.326401;0.517990
290;-0.367569;-0.965988;0.171432
291;0.119385;-0.116867;-0.459213
292;0.157776;0.416260;-0.299911
293;-0.153717;-0.202652;-0.012619
294;-0.038177;-0.637222;0.108704
295;-0.068527;-0.108398;0.059433
296;0.063934;0.085587;-0.077499
297;0.161011;0.034454;-0.062775
298;0.043137;-0.011749;0.037598
299;0.036865;0.136597;-0.116592
300;-0.008682;0.483246;-0.339935
301;-0.040222;0.062912;0.019424
302;0.135773;0.386642;-0.102783
303;-0.047974;0.173172;0.384949
304;-0.175476;0.157867;-0.064545
305;0.101974;-0.166611;-0.280609
306;0.037338;-0.530396;-0.013107
307;0.278687;-0.216644;0.137665
308;-0.272644;-0.319626;0.194321
309;-0.149719;-0.301590;0.232239
310;-0.221634;0.165909;0.304855
311;0.240570;0.185928;0.028336
312;0.112930;-0.063385;-0.017639
313;0.058929;-0.071548;-0.178177
314;-0.016739;-0.083740;0.051819
315;0.016220;-0.126404;-0.139709
316;-0.076523;-0.293335;0.063110
317;0.223404;0.125366;-0.174683
318;0.052338;-0.023880;0.074951
319;-0.059998;0.062683;0.023804
320;-0.070648;0.198395;-0.039001
321;-0.231766;0.192017;0.023651
322;0.026093;-0.750946;-0.551514
323;0.189590;-1.981018;-0.726898
324;0.992294;-3.181305;-0.906921
325;1.031891;-3.468414;-1.071640
326;0.943100;-4.760284;-0.765472
327;0.128830;-7.208038;-0.005829
328;-0.589249;-6.667068;0.836761
329;-0.318268;-5.397919;0.944748
330;-0.282730;-3.072205;0.608093
331;0.107468;-2.390762;0.320114
332;0.216827;-0.994659;0.044632
333;0.030060;-0.181366;-0.450790
334;0.143875;0.094009;-0.364502
335;-0.151337;-0.013947;-0.042603
336;-0.150543;-0.232635;0.138474
337;-0.079819;-0.276566;-0.009033
338;0.049210;-0.129395;-0.010544
